Toyota Landcruiser v8 2007 Face lifted 
7 SEATER 
LEATHER ELECTRIC SEATS 
CRUISE CONTROL 
MULTIFUNCTION 
DVD REVERS CAMERA 
BRAND NEW TYRES 
3 WAY SURROUND CAMERAS 
FRONT & REAR SENSORS 
REAR WIPER 
COOL BOX 
HOOD RAILINGS 
ORIGINAL DOOR VISORS 
Anti-lock braking system, Back camera, Cruise control, Electric mirrors steering wheel, Power door locks, Power steering, Power windows, Rear window defroster, Rear window wiper, Remote key-less entry, Traction control A/C: Front, A/C: Rear, Airbag: Driver, Airbag: Passenger, Airbag: Side, AM/FM stereo, CD audio system, Cup holders, Third row seats, TV Alloy wheels, Fog lights, Roof rack, Side skirts, Spoiler, Tinted glass, HID lights features. 
exchange possible with bmw x5 sorento montero crv prado.~5;imex Link is the pioneers in importing electric vehicles. Make your electric vehicle dream comes true, imex with you.

For more details,call: 
Office  : 0777 949 032 
           : 0777 177 099
            : 0773 307 555
            : 0112 512 565
Indika  : 0775 982 381
Vihanga : 0778 416 093
Azeez   : 0778 643 197
Suneth  : 0766 898 922 

NISSAN LEAF TEKNA 2018 (Highest Grade) Brand New

Battery 40kw, On-board charger, kW 6.6 
ProPILOT Advanced Driver Assistance System
4-Way Camera
360° colour camera view
Intelligent Driver Alertness
Front and Rear Parking Sensors
BOSE premium Audio with 7 speakers
Leather interior

Full LED intelligent auto headlights~5
